GPS-Reading took: 0.000000 [s] 	 Scanning took 4.579000 [s] 	 Evaluation took 0.106000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.550000 [s] 	 Evaluation took 0.111000 [s] 	 Writing to file took: 0.041000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.548000 [s] 	 Evaluation took 0.133000 [s] 	 Writing to file took: 0.043000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.624000 [s] 	 Evaluation took 0.092000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.563000 [s] 	 Evaluation took 0.052000 [s] 	 Writing to file took: 0.012000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.537000 [s] 	 Evaluation took 0.103000 [s] 	 Writing to file took: 0.052000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.546000 [s] 	 Evaluation took 0.118000 [s] 	 Writing to file took: 0.049000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.536000 [s] 	 Evaluation took 0.126000 [s] 	 Writing to file took: 0.041000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.531000 [s] 	 Evaluation took 0.121000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.535000 [s] 	 Evaluation took 0.076000 [s] 	 Writing to file took: 0.043000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.583000 [s] 	 Evaluation took 0.074000 [s] 	 Writing to file took: 0.047000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.582000 [s] 	 Evaluation took 0.110000 [s] 	 Writing to file took: 0.043000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.549000 [s] 	 Evaluation took 0.099000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.555000 [s] 	 Evaluation took 0.112000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.541000 [s] 	 Evaluation took 0.044000 [s] 	 Writing to file took: 0.013000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.541000 [s] 	 Evaluation took 0.111000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.542000 [s] 	 Evaluation took 0.094000 [s] 	 Writing to file took: 0.060000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.546000 [s] 	 Evaluation took 0.082000 [s] 	 Writing to file took: 0.055000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.565000 [s] 	 Evaluation took 0.098000 [s] 	 Writing to file took: 0.054000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.547000 [s] 	 Evaluation took 0.120000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 1.465000 [s] 	 Evaluation took 0.104000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.726000 [s] 	 Evaluation took 3.024000 [s] 	 Writing to file took: 0.015000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.532000 [s] 	 Evaluation took 0.016000 [s] 	 Writing to file took: 0.042000 [s]
